"PFAM_IDs","classified_ancestor"
"PF00071","LACA"
"PF00091","LACA"
"PF00113","LACA"
"PF00121","LACA"
"PF00162","LACA"
"PF00164","LACA"
"PF00237","LACA"
"PF00238","LACA"
"PF00252","LACA"
"PF00297","LACA"
"PF00318","LACA"
"PF00338","LACA"
"PF00382","LACA"
"PF00416","LACA"
"PF00428","LACA"
"PF00467","LACA"
"PF00482","LACA"
"PF00507","LACA"
"PF00687","LACA"
"PF00705","LACA"
"PF00736","LACA"
"PF00752","LACA"
"PF00766","LACA"
"PF00808","preLACA"
"PF00832","preLACA"
"PF00833","LACA"
"PF00834","LACA"
"PF00867","LACA"
"PF00900","preLACA"
"PF00902","LACA"
"PF00926","preLACA"
"PF00958","preLACA"
"PF01008","preLACA"
"PF01015","LACA"
"PF01090","preLACA"
"PF01092","LACA"
"PF01096","LACA"
"PF01134","LACA"
"PF01154","LACA"
"PF01157","LACA"
"PF01163","LACA"
"PF01172","preLACA"
"PF01176","LACA"
"PF01193","LACA"
"PF01194","LACA"
"PF01198","LACA"
"PF01199","LACA"
"PF01200","preLACA"
"PF01201","LACA"
"PF01280","LACA"
"PF01282","LACA"
"PF01351","LACA"
"PF01381","LACA"
"PF01409","LACA"
"PF01423","LACA"
"PF01428","preLACA"
"PF01599","LACA"
"PF01624","LACA"
"PF01655","LACA"
"PF01667","LACA"
"PF01670","LACA"
"PF01702","LACA"
"PF01728","LACA"
"PF01775","preLACA"
"PF01780","LACA"
"PF01796","LACA"
"PF01849","LACA"
"PF01866","LACA"
"PF01868","preLACA"
"PF01870","LACA"
"PF01873","LACA"
"PF01877","preLACA"
"PF01886","LACA"
"PF01900","preLACA"
"PF01907","LACA"
"PF01912","LACA"
"PF01913","LACA"
"PF01917","LACA"
"PF01920","preLACA"
"PF01921","LACA"
"PF01922","LACA"
"PF01923","LACA"
"PF01939","LACA"
"PF01940","LACA"
"PF01949","LACA"
"PF01954","LACA"
"PF01956","LACA"
"PF01970","LACA"
"PF01974","LACA"
"PF01976","LACA"
"PF01982","preLACA"
"PF01983","LACA"
"PF01984","preLACA"
"PF01988","LACA"
"PF01989","LACA"
"PF01994","LACA"
"PF01996","LACA"
"PF01997","preLACA"
"PF01998","LACA"
"PF02001","preLACA"
"PF02002","LACA"
"PF02006","LACA"
"PF02007","LACA"
"PF02150","LACA"
"PF02516","preLACA"
"PF02593","LACA"
"PF02613","LACA"
"PF02634","LACA"
"PF02637","LACA"
"PF02667","LACA"
"PF02680","LACA"
"PF02697","preLACA"
"PF02741","LACA"
"PF02747","LACA"
"PF02749","LACA"
"PF02778","LACA"
"PF02787","preLACA"
"PF02803","LACA"
"PF02926","preLACA"
"PF02933","preLACA"
"PF02934","LACA"
"PF03029","LACA"
"PF03143","LACA"
"PF03144","LACA"
"PF03288","LACA"
"PF03357","LACA"
"PF03367","LACA"
"PF03463","LACA"
"PF03464","LACA"
"PF03465","LACA"
"PF03551","LACA"
"PF03587","LACA"
"PF03657","LACA"
"PF03685","LACA"
"PF03725","LACA"
"PF03833","preLACA"
"PF03874","LACA"
"PF03876","LACA"
"PF03911","LACA"
"PF03950","LACA"
"PF03952","LACA"
"PF04008","LACA"
"PF04010","LACA"
"PF04019","LACA"
"PF04032","preLACA"
"PF04034","preLACA"
"PF04042","preLACA"
"PF04068","preLACA"
"PF04104","LACA"
"PF04123","LACA"
"PF04126","LACA"
"PF04135","LACA"
"PF04182","LACA"
"PF04242","LACA"
"PF04252","LACA"
"PF04289","preLACA"
"PF04312","preLACA"
"PF04406","preLACA"
"PF04410","LACA"
"PF04423","LACA"
"PF04457","preLACA"
"PF04565","LACA"
"PF04566","LACA"
"PF04567","LACA"
"PF04703","LACA"
"PF04894","LACA"
"PF04895","preLACA"
"PF04919","preLACA"
"PF04967","LACA"
"PF04981","LACA"
"PF05000","LACA"
"PF05123","LACA"
"PF05124","LACA"
"PF05559","preLACA"
"PF05693","preLACA"
"PF05916","LACA"
"PF06023","LACA"
"PF06093","LACA"
"PF06195","LACA"
"PF06253","LACA"
"PF06348","LACA"
"PF06550","LACA"
"PF06677","preLACA"
"PF06849","LACA"
"PF06858","LACA"
"PF06973","preLACA"
"PF07362","LACA"
"PF07541","LACA"
"PF07726","LACA"
"PF07754","LACA"
"PF07760","LACA"
"PF08068","preLACA"
"PF08069","preLACA"
"PF08071","preLACA"
"PF08271","LACA"
"PF08351","LACA"
"PF08394","LACA"
"PF08423","LACA"
"PF08438","preLACA"
"PF08489","LACA"
"PF08646","LACA"
"PF08714","preLACA"
"PF08753","preLACA"
"PF08915","LACA"
"PF09180","LACA"
"PF09183","preLACA"
"PF09202","LACA"
"PF09239","preLACA"
"PF09249","LACA"
"PF09336","LACA"
"PF09378","preLACA"
"PF09455","LACA"
"PF09579","LACA"
"PF09843","LACA"
"PF09847","LACA"
"PF09853","LACA"
"PF09883","LACA"
"PF09892","preLACA"
"PF09910","LACA"
"PF09946","LACA"
"PF09948","LACA"
"PF09999","LACA"
"PF10007","LACA"
"PF10015","LACA"
"PF10120","LACA"
"PF10133","LACA"
"PF10559","LACA"
"PF10584","preLACA"
"PF10884","LACA"
"PF11419","LACA"
"PF11469","preLACA"
"PF11495","LACA"
"PF11760","LACA"
"PF12172","LACA"
"PF12327","LACA"
"PF12798","preLACA"
"PF12840","preLACA"
"PF13184","LACA"
"PF13344","LACA"
"PF13370","LACA"
"PF13656","preLACA"
"PF13840","LACA"
"PF13938","LACA"
"PF14010","LACA"
"PF14251","LACA"
"PF14382","preLACA"
"PF14512","LACA"
"PF14544","preLACA"
"PF14551","LACA"
"PF14578","LACA"
"PF14601","LACA"
"PF14622","LACA"
"PF14810","preLACA"
"PF14890","preLACA"
"PF14947","preLACA"
"PF15985","LACA"
"PF16795","LACA"
"PF16868","LACA"
"PF16897","preLACA"
"PF16906","preLACA"
"PF17135","LACA"
"PF17146","LACA"
"PF17207","LACA"
"PF17214","LACA"
"PF17231","LACA"
"PF17777","LACA"
"PF17855","LACA"
"PF17856","LACA"
"PF17884","LACA"
"PF18046","LACA"
"PF18093","LACA"
"PF18195","LACA"
"PF18320","LACA"
"PF18477","LACA"
"PF18490","LACA"
"PF18551","LACA"
"PF18754","LACA"
"PF18862","LACA"
"PF18898","LACA"
"PF18975","LACA"
"PF19026","preLACA"
"PF19538","LACA"
"PF19810","LACA"
"PF20268","LACA"
"PF20470","preLACA"
"Domain1","LBCA"
"Domain2","LBCA"
"PF00006","LBCA"
"PF00012","preLBCA"
"PF00015","LBCA"
"PF00023","preLBCA"
"PF00027","preLBCA"
"PF00028","LBCA"
"PF00032","LBCA"
"PF00033","LBCA"
"PF00034","LBCA"
"PF00035","LBCA"
"PF00036","LBCA"
"PF00042","LBCA"
"PF00044","LBCA"
"PF00045","LBCA"
"PF00050","LBCA"
"PF00059","LBCA"
"PF00060","LBCA"
"PF00076","LBCA"
"PF00078","preLBCA"
"PF00079","preLBCA"
"PF00080","LBCA"
"PF00089","LBCA"
"PF00109","LBCA"
"PF00115","LBCA"
"PF00120","LBCA"
"PF00126","LBCA"
"PF00137","LBCA"
